feature,Cycles_to_WW,Cycles_to_HPC_SV,Cycles_to_HPT_SV,abs_max_corr
tri_ratio_diff_Sensed_Mach_Sensed_T3_Sensed_T5,-0.10294381058167776,-0.4412619441444915,-0.8625915964428386,0.8625915964428386
tri_ratio_diff_Sensed_Fan_Speed_Sensed_T3_Sensed_T5,-0.09969619287420044,-0.4406386696035205,-0.8426034257856948,0.8426034257856948
tri_ratio_diff_Sensed_Core_Speed_Sensed_T3_Sensed_T5,-0.10035506775538502,-0.4433054048584353,-0.8302945391884967,0.8302945391884967
tri_ratio_diff_Sensed_Altitude_Sensed_T3_Sensed_T5,-0.08981785839704635,-0.4166055707283749,-0.8120509473000787,0.8120509473000787
tri_ratio_diff_Sensed_Pamb_Sensed_T3_Sensed_T5,-0.09561325526021934,-0.417912416565943,-0.8084616676069724,0.8084616676069724
temp_increment_squared_Sensed_T3_Sensed_T45,-0.08790660984972946,-0.3349558452364493,-0.7817410973764101,0.7817410973764101
tri_ratio_diff_Sensed_Fan_Speed_Sensed_T3_Sensed_T45,0.10650705486255141,0.43960978507241966,0.7359576791704159,0.7359576791704159
tri_ratio_diff_Sensed_Core_Speed_Sensed_T3_Sensed_T45,0.09839250069372431,0.41146263891381685,0.7180934106630107,0.7180934106630107
temp_increment_Sensed_T3_Sensed_T5,-0.08048427013221685,-0.39747266552497523,-0.6483765400745674,0.6483765400745674
ratio_inv_Sensed_T3_Sensed_T5,-0.08048427015999422,-0.3974726656500447,-0.6483765398459999,0.6483765398459999
ratio_squared_Sensed_Ps3_Sensed_P25,0.05829145559473081,0.2607132899492272,0.5937252886768347,0.5937252886768347
temp_increment_squared_Sensed_T25_Sensed_T5,-0.11824377712121431,-0.5862213571060129,-0.5248417151343909,0.5862213571060129
press_ratio_Sensed_Ps3_Sensed_P25,0.055976072142848346,0.25336075779091904,0.5798731479942902,0.5798731479942902
ratio_Sensed_Ps3_Sensed_P25,0.055976072142848346,0.25336075779091904,0.5798731479942902,0.5798731479942902
diff_Sensed_T3_Sensed_T5,0.05618299892418107,0.3088807130166831,0.5794018658691542,0.5794018658691542
temp_diff_Sensed_T3_Sensed_T5,0.05618299892418107,0.3088807130166831,0.5794018658691542,0.5794018658691542
ratio_inv_Sensed_T3_Sensed_T45,-0.05770588251270352,-0.2524713335005509,-0.5769897976190971,0.5769897976190971
temp_increment_Sensed_T3_Sensed_T45,-0.057705882475677234,-0.2524713333313724,-0.5769897976012153,0.5769897976012153
